null,27153,2011,Ｊ１,第１節第１日,03/05(土),14:02,名古屋グランパス,横浜Ｆ・マリノス,豊田スタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ総合
null,20055,2011,Ｊ１,第１節第１日,03/05(土),14:02,ガンバ大阪,セレッソ大阪,万博記念競技場,スカパー／ｅ２／スカパー光（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／ＮＨＫ大阪（近畿ブロック）
null,15040,2011,Ｊ１,第１節第１日,03/05(土),14:03,ヴァンフォーレ甲府,ジュビロ磐田,山梨中銀スタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ甲府／ＮＨＫ静岡／ひかりＴＶ
null,18709,2011,Ｊ１,第１節第１日,03/05(土),14:04,サンフレッチェ広島,ベガルタ仙台,広島ビッグアーチ,スカパー／ｅ２／スカパー光／ＮＨＫ広島／ＮＨＫ仙台
null,10254,2011,Ｊ１,第１節第１日,03/05(土),14:04,アビスパ福岡,アルビレックス新潟,レベルファイブスタジアム,スカパー／ｅ２／スカパー光／テレビ西日本（録）
null,18673,2011,Ｊ１,第１節第１日,03/05(土),15:04,川崎フロンターレ,モンテディオ山形,等々力陸上競技場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／ＢＳ－ＴＢＳ
null,10390,2011,Ｊ１,第１節第１日,03/05(土),19:04,柏レイソル,清水エスパルス,日立柏サッカー場,スカパー／ｅ２／スカパー光／ＢＳ／ひかりＴＶ
null,6230,2011,Ｊ２,第１節第１日,03/05(土),14:02,愛媛ＦＣ,コンサドーレ札幌,ニンジニアスタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ松山／ＮＨＫ札幌
null,21408,2011,Ｊ２,第１節第１日,03/05(土),14:05,ＦＣ東京,サガン鳥栖,味の素スタジアム,スカパー／ｅ２／スカパー光／ＴＯＫＹＯ　ＭＸ／ひかりＴＶ
null,4222,2011,Ｊ２,第１節第１日,03/05(土),17:05,水戸ホーリーホック,京都サンガF.C.,ケーズデンキスタジアム水戸,スカパー／ｅ２／スカパー光
null,19913,2011,Ｊ１,第１節第２日,03/06(日),13:05,ヴィッセル神戸,浦和レッズ,ホームズスタジアム神戸,スカパー／ｅ２／スカパー光
null,23262,2011,Ｊ１,第１節第２日,03/06(日),15:03,鹿島アントラーズ,大宮アルディージャ,県立カシマサッカースタジアム,スカパー／ｅ２／スカパー光（Ｊ　ｓｐｏｒｔｓ　Ｐｌｕｓ）／ＮＨＫ水戸＊
null,6144,2011,Ｊ２,第１節第２日,03/06(日),13:03,栃木ＳＣ,ザスパ草津,栃木県グリーンスタジアム,スカパー／ｅ２／スカパー光／とちぎテレビ（録）
null,10255,2011,Ｊ２,第１節第２日,03/06(日),13:03,湘南ベルマーレ,ファジアーノ岡山,平塚競技場,スカパー／ｅ２／スカパー光
null,3359,2011,Ｊ２,第１節第２日,03/06(日),13:03,ギラヴァンツ北九州,ジェフユナイテッド千葉,北九州市立本城陸上競技場,スカパー／ｅ２／スカパー光
null,5854,2011,Ｊ２,第１節第２日,03/06(日),15:06,徳島ヴォルティス,ガイナーレ鳥取,鳴門・大塚スポーツパークポカリスエットスタジアム,スカパー／ｅ２／スカパー光／ＮＨＫ徳島／ＮＨＫ鳥取
null,6611,2011,Ｊ２,第１節第２日,03/06(日),15:07,ロアッソ熊本,東京ヴェルディ,熊本県民総合運動公園陸上競技場,スカパー／ｅ２／スカパー光／ＮＨＫ熊本／ひかりＴＶ
null,11306,2011,Ｊ２,第１節第２日,03/06(日),16:04,横浜ＦＣ,カターレ富山,ニッパツ三ツ沢球技場,スカパー／ｅ２／スカパー光
null,6621,2011,Ｊ２,第１節第２日,03/06(日),16:04,ＦＣ岐阜,大分トリニータ,岐阜メモリアルセンター長良川競技場,スカパー／ｅ２／スカパー光
null,8441,2011,Ｊ１,第７節第１日,04/23(土),14:04,大宮アルディージャ,柏レイソル,ＮＡＣＫ５スタジアム大宮,スカパー／ｅ２／スカパー光
null,6893,2011,Ｊ１,第７節第１日,04/23(土),14:04,ヴァンフォーレ甲府,ヴィッセル神戸,山梨中銀スタジアム,スカパー／ｅ２／スカパー光
null,11025,2011,Ｊ１,第７節第１日,04/23(土),14:04,清水エスパルス,アビスパ福岡,アウトソーシングスタジアム日本平,スカパー／ｅ２／スカパー光／静岡放送
null,15688,2011,Ｊ１,第７節第１日,04/23(土),14:05,鹿島アントラーズ,横浜Ｆ・マリノス,国立競技場,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）／ＢＳーＴＢＳ（録）
null,15030,2011,Ｊ１,第７節第１日,04/23(土),14:05,川崎フロンターレ,ベガルタ仙台,等々力陸上競技場,スカパー／ｅ２／スカパー光／ＢＳ／ひかりＴＶ
null,1273,2011,Ｊ２,第８節第１日,04/23(土),13:05,水戸ホーリーホック,徳島ヴォルティス,ケーズデンキスタジアム水戸,スカパー／ｅ２／スカパー光
null,5381,2011,Ｊ２,第８節第１日,04/23(土),13:05,ロアッソ熊本,ＦＣ岐阜,熊本県民総合運動公園陸上競技場,スカパー／ｅ２（録）／スカパー光
null,3783,2011,Ｊ２,第８節第１日,04/23(土),14:03,横浜ＦＣ,サガン鳥栖,ニッパツ三ツ沢球技場,スカパー／ｅ２（録）／スカパー光
null,11734,2011,Ｊ２,第８節第１日,04/23(土),16:04,コンサドーレ札幌,湘南ベルマーレ,札幌ドーム,スカパー／ｅ２／スカパー光
